ID,Author,Title,Day,Month,Year,Recipient( Name_Surname),Location,Source Status,Source Link
1,Vincent van Gogh,To Theo van Gogh,29,September,1872,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b1 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let001/letter.html
1a,Vincent van Gogh,To Hendrik Verzijl,26,October,1872,Hendrik Verzijl,"’s-Hertogenbosch, BHIC, family archive De Jonge van Zwijnsbergen, 319, inv. no. 438",Original manuscript,https://vangoghletters.org/vg/letters/let001a/letter.html
2,Vincent van Gogh,To Theo van Gogh,13,December,1872,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b2 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let002/letter.html
3,Vincent van Gogh,To Theo van Gogh,22,January,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b3 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let003/letter.html
4,Vincent van Gogh,To Theo van Gogh,28,January,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b1 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let004/letter.html
5,Vincent van Gogh,To Theo van Gogh,17,March,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b5 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let005/letter.html
6,Vincent van Gogh,To Theo van Gogh,24,March,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b1 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let006/letter.html
7,Vincent van Gogh,To Theo van Gogh,5,May,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b1 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let007/letter.html
8,Vincent van Gogh,To Theo van Gogh,9,May,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b1 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let008/letter.html
9,Vincent van Gogh,To Theo van Gogh,13,June,1873,Theo van Gogh,"Amsterdam, Van Gogh Museum, inv. no. b9 V/1962",Original manuscript,https://vangoghletters.org/vg/letters/let009/letter.html
